Epoch,Step,Precision,Recall,,Precision_AVERAGE,,,Recall_AVERAGE
106,600,0.3043,0.07,,,,,
107,300,0.1429,0.01,,,,,
107,600,0.1111,0.01,,,,,
108,300,0.1818,0.02,,,,,
108,600,0.2308,0.03,,,,,
109,300,0,0,,,,,
109,600,0,0,,,,,
110,300,0.3846,0.05,,,,,
110,600,0,0,,,,,
111,300,0.0909,0.01,,,,,
111,600,0.3333,0.06,,,,,
112,300,0.1053,0.02,,,,,
112,600,0.2143,0.03,,,,,
113,300,0.3333,0.05,,,,,
113,600,0.3125,0.05,,,,,
114,300,0.5455,0.06,,,,,
114,600,0.1538,0.02,,,,,
115,300,0.4545,0.05,,,,,
115,600,0.2222,0.06,,,,,
116,300,0.0588,0.01,,,,,
116,600,0.15,0.03,,,,,
117,300,0.2424,0.08,,,,,
117,600,0.3571,0.05,,,,,
118,300,0.4138,0.12,,,,,
118,600,0.4194,0.13,,,,,
119,300,0.275,0.11,,,,,
119,600,0.4048,0.17,,,,,
120,300,0.3143,0.11,,,,,
120,600,0.3651,0.23,,,,,
121,300,0.3824,0.13,,,,,
121,600,0.3864,0.17,,,,,
122,300,0.3429,0.12,,,,,
122,600,0.3095,0.13,,,,,
123,300,0.3929,0.11,,,,,
123,600,0.2692,0.07,,,,,
124,300,0.5581,0.24,,,,,
124,600,0.3939,0.13,,,,,
125,300,0.3962,0.21,,,,,
125,600,0.3333,0.16,,,,,
126,300,0.5,0.2,,,,,
126,600,0.3617,0.17,,,,,
127,300,0.2857,0.08,,,,,
127,600,0.35,0.14,,,,,
128,300,0.4595,0.17,,,,,
128,600,0.2121,0.07,,,,,
129,300,0.2444,0.11,,,,,
129,600,0.3607,0.22,,,,,
130,300,0.5217,0.24,,,,,
130,600,0.3538,0.23,,,,,
131,300,0.3585,0.19,,,,,
131,600,0.3774,0.2,,,,,
132,300,0.2979,0.14,,,,,
132,600,0.4219,0.27,,,,,
133,300,0.4444,0.12,,,,,
133,600,0.4688,0.15,,,,,
134,300,0.371,0.23,,,,,
134,600,0.3585,0.19,,,,,
135,300,0.4853,0.33,,,,,
135,600,0.3958,0.19,,,,,
136,300,0.5306,0.26,,,,,
136,600,0.2941,0.1,,,,,
137,300,0.3115,0.19,,,,,
137,600,0.5333,0.24,,,,,
138,300,0.375,0.21,,,,,
138,600,0.48,0.24,,,,,
139,300,0.4265,0.29,,,,,
139,600,0.4068,0.24,,,,,
140,300,0.4043,0.19,,,,,
140,600,0.3404,0.16,,,,,
141,300,0.5,0.27,,,,,
141,600,0.3167,0.19,,,,,
142,300,0.4828,0.28,,,,,
142,600,0.5082,0.31,,,,,
143,300,0.6222,0.28,,,,,
143,600,0.4107,0.23,,,,,
144,300,0.4286,0.27,,,,,
144,600,0.3492,0.22,,,,,
145,300,0.449,0.22,,,,,
145,600,0.3934,0.24,,,,,
146,300,0.3333,0.24,,,,,
146,600,0.4776,0.32,,,,,
147,300,0.3095,0.13,,,,,
147,600,0.3571,0.15,,,,,
148,300,0.4444,0.28,,,,,
148,600,0.5323,0.33,,,,,
149,300,0.3673,0.18,,,,,
149,600,0.3559,0.21,,,,,
150,300,0.4909,0.27,,,,,
150,600,0.42,0.21,,,,,
151,300,0.4478,0.3,,,,,
151,600,0.4507,0.32,,,,,
152,300,0.4906,0.26,,,,,
152,600,0.4727,0.26,,,,,
153,300,0.381,0.24,,,,,
153,600,0.5132,0.39,,,,,
154,300,0.431,0.25,,,,,
154,600,0.2676,0.19,,,,,
155,300,0.4737,0.27,,,,,
155,600,0.3571,0.2,,,,,
156,300,0.5577,0.29,,,,,
156,600,0.5417,0.26,,,,,
157,300,0.4375,0.21,,,,,
157,600,0.5902,0.36,,,,,
158,300,0.3333,0.18,,,,,
158,600,0.5102,0.25,,,,,
159,300,0.3158,0.12,,,,,
159,600,0.3,0.18,,,,,
160,300,0.4419,0.19,,,,,
160,600,0.4314,0.22,,,,,
161,300,0.4714,0.33,,,,,
161,600,0.5833,0.35,,,,,
162,300,0.3333,0.18,,,,,
162,600,0.537,0.29,,,,,
163,300,0.4444,0.24,,,,,
163,600,0.375,0.18,,,,,
164,300,0.4648,0.33,,,,,
164,600,0.4211,0.32,,,,,
165,300,0.3833,0.23,,,,,
165,600,0.4468,0.21,,,,,
166,300,0.3333,0.2,,,,,
166,600,0.4272,0.44,,,,,
167,300,0.3088,0.21,,,,,
167,600,0.4878,0.2,,,,,
168,300,0.4362,0.41,,,,,
168,600,0.537,0.29,,,,,
169,300,0.4853,0.33,,,,,
169,600,0.5333,0.4,,,,,
170,300,0.5143,0.36,,,,,
170,600,0.3214,0.18,,,,,
171,300,0.3506,0.27,,,,,
171,600,0.4308,0.28,,,,,
172,300,0.5147,0.35,,,,,
172,600,0.4815,0.26,,,,,
173,300,0.4714,0.33,,,,,
173,600,0.4211,0.32,,,,,
174,300,0.4154,0.27,,,,,
174,600,0.403,0.27,,,,,
175,300,0.4157,0.37,,,,,
175,600,0.44,0.33,,,,,
176,300,0.5132,0.39,,,,,
176,600,0.4737,0.27,,,,,
177,300,0.3485,0.23,,,,,
177,600,0.5672,0.38,,,,,
178,300,0.3906,0.25,,,,,
178,600,0.4167,0.25,,,,,
179,300,0.5079,0.32,,,,,
179,600,0.411,0.3,,,,,
180,300,0.5059,0.43,,,,,
180,600,0.3548,0.22,,,,,
181,300,0.3875,0.31,,,,,
181,600,0.4605,0.35,,,,,
182,300,0.4203,0.29,,,,,
182,600,0.4098,0.25,,,,,
183,300,0.5882,0.4,,,,,
183,600,0.4474,0.34,,,,,
184,300,0.5167,0.31,,,,,
184,600,0.5341,0.47,,,,,
185,300,0.4512,0.37,,,,,
185,600,0.4407,0.26,,,,,
186,300,0.4756,0.39,,,,,
186,600,0.3714,0.26,,,,,
187,300,0.4474,0.34,,,,,
187,600,0.3953,0.34,,,,,
188,300,0.5287,0.46,,,,,
188,600,0.4459,0.33,,,,,
189,300,0.5238,0.44,,,,,
189,600,0.4875,0.39,,,,,
190,300,0.4219,0.27,,,,,
190,600,0.4583,0.33,,,,,
191,300,0.5735,0.39,,,,,
191,600,0.4615,0.24,,,,,
192,300,0.4776,0.32,,,,,
192,600,0.4857,0.34,,,,,
193,300,0.5385,0.49,,,,,
193,600,0.5,0.34,,,,,
194,300,0.4643,0.39,,,,,
194,600,0.5,0.31,,,,,
195,300,0.4872,0.38,,,,,
195,600,0.4444,0.28,,,,,
196,300,0.4265,0.29,,,,,
196,600,0.4058,0.28,,,,,
197,300,0.4342,0.33,,,,,
197,600,0.5333,0.4,,,,,
198,300,0.4937,0.39,,,,,
198,600,0.5077,0.33,,,,,
199,300,0.443,0.35,,,,,
199,600,0.3377,0.26,,,,,
200,300,0.527,0.39,,,,,
200,600,0.4462,0.29,,,,,
201,300,0.4324,0.32,,,,,
201,600,0.561,0.46,,,,,
202,300,0.4,0.32,,,,,
202,600,0.4176,0.38,,,,,
203,300,0.4667,0.28,,,,,
203,600,0.4615,0.36,,,,,
204,300,0.4062,0.26,,,,,
204,600,0.4366,0.31,,,,,
205,300,0.55,0.44,,,,,
205,600,0.4203,0.29,,,,,
206,300,0.4719,0.42,,,,,
206,600,0.3973,0.29,,,,,
207,300,0.5,0.36,,,,,
207,600,0.5373,0.36,,,,,
208,300,0.4561,0.26,,,,,
208,600,0.45,0.18,,,,,
209,300,0.4605,0.35,,,,,
209,600,0.4167,0.3,,,,,
210,300,0.4227,0.41,,,,,
210,600,0.5172,0.45,,,,,
211,300,0.48,0.36,,,,,
211,600,0.4632,0.44,,,,,
212,300,0.4235,0.36,,,,,
212,600,0.4697,0.31,,,,,
213,300,0.4444,0.32,,,,,
213,600,0.5,0.33,,,,,
214,300,0.5393,0.48,,,,,
214,600,0.4,0.26,,,,,
215,300,0.5696,0.45,,,,,
215,600,0.5735,0.39,,,,,
216,300,0.4571,0.32,,,,,
216,600,0.56,0.42,,,,,
217,300,0.443,0.35,,,,,
217,600,0.4835,0.44,,,,,
218,300,0.5644,0.57,,,,,
218,600,0.5577,0.58,,,,,
219,300,0.5161,0.32,,,,,
219,600,0.557,0.44,,,,,
220,300,0.3659,0.3,,,,,
220,600,0.4227,0.41,,,,,
221,300,0.3289,0.25,,,,,
221,600,0.4127,0.26,,,,,
222,300,0.4881,0.41,,,,,
222,600,0.4023,0.35,,,,,
223,300,0.5205,0.38,,,,,
223,600,0.4079,0.31,,,,,
224,300,0.4737,0.36,,,,,
224,600,0.4615,0.42,,,,,
225,300,0.5417,0.39,,,,,
225,600,0.4667,0.35,,,,,
226,300,0.4245,0.45,,,,,
226,600,0.4891,0.45,,,,,
227,300,0.4024,0.33,,,,,
227,600,0.4487,0.35,,,,,
228,300,0.5333,0.48,,,,,
228,600,0.5784,0.59,,,,,
229,300,0.4667,0.42,,,,,
229,600,0.4231,0.33,,,,,
230,300,0.475,0.38,,,,,
230,600,0.6207,0.54,,,,,
231,300,0.5632,0.49,,,,,
231,600,0.5455,0.42,,,,,
232,300,0.4262,0.26,,,,,
232,600,0.3714,0.26,,,,,
233,300,0.4105,0.39,,,,,
233,600,0.4667,0.35,,,,,
234,300,0.3714,0.26,,,,,
234,600,0.4359,0.34,,,,,
235,300,0.5181,0.43,,,,,
235,600,0.5,0.38,,,,,
236,300,0.4938,0.4,,,,,
236,600,0.5294,0.45,,,,,
237,300,0.493,0.35,,,,,
237,600,0.5306,0.52,,,,,
238,300,0.4615,0.3,,,,,
238,600,0.6707,0.55,,,,,
239,300,0.4921,0.31,,,,,
239,600,0.4328,0.29,,,,,
240,300,0.4714,0.33,,,,,
240,600,0.5227,0.46,,,,,
241,300,0.5325,0.41,,,,,
241,600,0.4667,0.42,,,,,
242,300,0.4186,0.36,,,,,
242,600,0.618,0.55,,,,,
243,300,0.3793,0.33,,,,,
243,600,0.4756,0.39,,,,,
244,300,0.4651,0.4,,,,,
244,600,0.5169,0.46,,,,,
245,300,0.375,0.3,,,,,
245,600,0.4457,0.41,,,,,
246,300,0.5429,0.38,,,,,
246,600,0.4886,0.43,,,,,
247,300,0.5,0.46,,,,,
247,600,0.5882,0.5,,,,,
248,300,0.4302,0.37,,,,,
248,600,0.4242,0.28,,,,,
249,300,0.4179,0.28,,,,,
249,600,0.5926,0.48,,,,,
250,300,0.5224,0.35,,,,,
