Epoch,Step,Precision,Recall,,Precision_AVERAGE,,,Recall_AVERAGE
38,600,0.88421051,0.839999974,,,,,
39,300,0.843750021,0.810000002,,,,,
39,600,0.872093009,0.75,,,,,
40,300,0.867924542,0.920000017,,,,,
40,600,0.922222228,0.829999983,,,,,
41,300,0.917525788,0.889999986,,,,,
41,600,0.891304324,0.819999993,,,,,
42,300,0.904761922,0.75999999,,,,,
42,600,0.837837833,0.620000005,,,,,
43,300,0.831578928,0.790000021,,,,,
43,600,0.863157898,0.819999993,,,,,
44,300,0.869565215,0.800000012,,,,,
44,600,0.893616996,0.839999974,,,,,
45,300,0.848484865,0.839999974,,,,,
45,600,0.889999986,0.889999986,,,,,
46,300,0.904255347,0.850000024,,,,,
46,600,0.786516853,0.699999988,,,,,
47,300,0.912087927,0.829999983,,,,,
47,600,0.897727302,0.790000021,,,,,
48,300,0.683760684,0.800000012,,,,,
48,600,0.913043492,0.839999974,,,,,
49,300,0.934065933,0.850000024,,,,,
49,600,0.842105286,0.800000012,,,,,
50,300,0.870967738,0.810000002,,,,,
50,600,0.850574719,0.74000001,,,,,
51,300,0.814432988,0.790000021,,,,,
51,600,0.858585874,0.850000024,,,,,
52,300,0.849462382,0.790000021,,,,,
52,600,0.708737861,0.730000019,,,,,
53,300,0.790000021,0.790000021,,,,,
53,600,0.765957431,0.720000029,,,,,
54,300,0.851851846,0.689999998,,,,,
54,600,0.818181813,0.810000002,,,,,
55,300,0.797872342,0.75,,,,,
55,600,0.799999986,0.680000007,,,,,
56,300,0.884615414,0.689999998,,,,,
56,600,0.768421034,0.730000019,,,,,
57,300,0.819148918,0.769999981,,,,,
57,600,0.852272732,0.75,,,,,
58,300,0.804347822,0.74000001,,,,,
58,600,0.842696643,0.75,,,,,
59,300,0.830188673,0.879999995,,,,,
59,600,0.826086931,0.75999999,,,,,
60,300,0.769999981,0.769999981,,,,,
60,600,0.715686265,0.730000019,,,,,
61,300,0.813084122,0.870000005,,,,,
61,600,0.808080812,0.800000012,,,,,
62,300,0.823529401,0.839999974,,,,,
62,600,0.808988755,0.720000029,,,,,
63,300,0.810000002,0.810000002,,,,,
63,600,0.838095224,0.879999995,,,,,
64,300,0.8111111,0.730000019,,,,,
64,600,0.777777751,0.769999981,,,,,
65,300,0.810810833,0.600000024,,,,,
65,600,0.788235292,0.670000017,,,,,
66,300,0.901234589,0.730000019,,,,,
66,600,0.772727285,0.680000007,,,,,
67,300,0.797872342,0.75,,,,,
67,600,0.764705869,0.779999971,,,,,
68,300,0.848837217,0.730000019,,,,,
68,600,0.821052612,0.779999971,,,,,
69,300,0.722222207,0.779999971,,,,,
69,600,0.709677442,0.660000026,,,,,
70,300,0.761904769,0.639999986,,,,,
70,600,0.790909078,0.870000005,,,,,
71,300,0.757894729,0.720000029,,,,,
71,600,0.844660173,0.870000005,,,,,
72,300,0.809523823,0.850000024,,,,,
72,600,0.861386151,0.870000005,,,,,
73,300,0.695238106,0.730000019,,,,,
73,600,0.880952357,0.74000001,,,,,
74,300,0.750000018,0.629999995,,,,,
74,600,0.696078423,0.709999979,,,,,
75,300,0.825688071,0.899999976,,,,,
75,600,0.863157898,0.819999993,,,,,
76,300,0.783783751,0.579999983,,,,,
76,600,0.75,0.75,,,,,
77,300,0.557692312,0.579999983,,,,,
77,600,0.734693892,0.720000029,,,,,
78,300,0.835294128,0.709999979,,,,,
78,600,0.701923081,0.730000019,,,,,
79,300,0.752688153,0.699999988,,,,,
79,600,0.858823528,0.730000019,,,,,
80,300,0.734939738,0.610000014,,,,,
80,600,0.554347806,0.50999999,,,,,
81,300,0.628865976,0.610000014,,,,,
81,600,0.763440831,0.709999979,,,,,
82,300,0.752941191,0.639999986,,,,,
82,600,0.789473694,0.75,,,,,
83,300,0.732673284,0.74000001,,,,,
83,600,0.681034486,0.790000021,,,,,
84,300,0.835164855,0.75999999,,,,,
84,600,0.645833353,0.620000005,,,,,
85,300,0.666666667,0.720000029,,,,,
85,600,0.804878029,0.660000026,,,,,
86,300,0.744186017,0.639999986,,,,,
86,600,0.767676751,0.75999999,,,,,
87,300,0.742857149,0.779999971,,,,,
87,600,0.705882361,0.600000024,,,,,
88,300,0.643564339,0.649999976,,,,,
88,600,0.720588242,0.49000001,,,,,
89,300,0.831325315,0.689999998,,,,,
89,600,0.763440831,0.709999979,,,,,
90,300,0.719512169,0.589999974,,,,,
90,600,0.714285706,0.75,,,,,
91,300,0.762886585,0.74000001,,,,,
91,600,0.83168315,0.839999974,,,,,
92,300,0.839999974,0.839999974,,,,,
92,600,0.673076936,0.699999988,,,,,
93,300,0.702702706,0.779999971,,,,,
93,600,0.744444433,0.670000017,,,,,
94,300,0.702970282,0.709999979,,,,,
94,600,0.701149438,0.610000014,,,,,
95,300,0.752380964,0.790000021,,,,,
95,600,0.722222215,0.649999976,,,,,
96,300,0.75,0.540000021,,,,,
96,600,0.714285714,0.649999976,,,,,
97,300,0.742857149,0.779999971,,,,,
97,600,0.662790678,0.569999993,,,,,
98,300,0.78301885,0.829999983,,,,,
98,600,0.780487794,0.639999986,,,,,
99,300,0.75757575,0.75,,,,,
99,600,0.690721646,0.670000017,,,,,
100,300,0.750000014,0.810000002,,,,,
100,600,0.727272715,0.639999986,,,,,
101,300,0.675324667,0.519999981,,,,,
101,600,0.660550465,0.720000029,,,,,
102,300,0.563829758,0.529999971,,,,,
102,600,0.717171732,0.709999979,,,,,
103,300,0.705882332,0.839999974,,,,,
103,600,0.626086962,0.720000029,,,,,
104,300,0.711340226,0.689999998,,,,,
104,600,0.809523786,0.680000007,,,,,
105,300,0.680412378,0.660000026,,,,,
105,600,0.681415915,0.769999981,,,,,
106,300,0.789473664,0.600000024,,,,,
106,600,0.755319128,0.709999979,,,,,
107,300,0.785714286,0.660000026,,,,,
107,600,0.708333357,0.680000007,,,,,
108,300,0.618556707,0.600000024,,,,,
108,600,0.669902929,0.689999998,,,,,
109,300,0.74000001,0.74000001,,,,,
109,600,0.715686265,0.730000019,,,,,
110,300,0.728395027,0.589999974,,,,,
110,600,0.515463902,0.5,,,,,
111,300,0.656565666,0.649999976,,,,,
111,600,0.641304349,0.589999974,,,,,
112,300,0.722772303,0.730000019,,,,,
112,600,0.776699017,0.800000012,,,,,
113,300,0.772727285,0.680000007,,,,,
113,600,0.747252734,0.680000007,,,,,
114,300,0.622641533,0.660000026,,,,,
114,600,0.666666691,0.540000021,,,,,
115,300,0.740740768,0.600000024,,,,,
115,600,0.673076936,0.699999988,,,,,
116,300,0.757009353,0.810000002,,,,,
116,600,0.764044964,0.680000007,,,,,
